Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
2022-05-11,"INTMSI 2022, MSI 2022","12.8, Patch 12.8",Win,Red,"Team Aze, Team Azelogo std.png","Nautilus, Lucian, Leona, Jax, Gangplank","Karma, Caitlyn, Twisted Fate, Tristana, Draven","Gwen, Kindred, Ahri, Senna, Wukong","Jayce, Diana, Vex, Zeri, Alistar","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2022 Mid-Season Invitational/Scoreboards",
2022-05-10,"INTMSI 2022, MSI 2022","12.8, Patch 12.8",Win,Blue,"Saigon Buffalo, Saigon Buffalologo std.png","Leona, Nautilus, Ahri, Rakan, Rell","Jayce, Caitlyn, LeBlanc, Viego, Lee Sin","Gwen, Vi, Twisted Fate, Lucian, Nami","Kennen, Wukong, Sylas, Tristana, Alistar","Zeus,Oner,Faker,Gumayusi,Keria","SB, 2022 Mid-Season Invitational/Scoreboards",
2022-04-02,"KRLCK 2022 Spring Playoffs, LCK 2022 Spring Playoffs","12.5, Patch 12.5",Win,Red,"Gen.G, Gen.Glogo std.png","Zeri, Twisted Fate, Hecarim, Malphite, Camille","Caitlyn, Jayce, Karma, Tryndamere, Nautilus","Kennen, Viego, Ahri, Jinx, Thresh","Akshan, Lee Sin, Ryze, Xayah, Yuumi","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Playoffs/Scoreboards",VOD
2022-04-02,"KRLCK 2022 Spring Playoffs, LCK 2022 Spring Playoffs","12.5, Patch 12.5",Win,Blue,"Gen.G, Gen.Glogo std.png","Hecarim, Ryze, Karma, Malphite, Rakan","Zeri, Caitlyn, Twisted Fate, Nautilus, Zilean","Jayce, Viego, Ahri, Jinx, Tahm Kench","Camille, Lee Sin, LeBlanc, Xayah, Yuumi","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Playoffs/Scoreboards",VOD
2022-04-02,"KRLCK 2022 Spring Playoffs, LCK 2022 Spring Playoffs","12.5, Patch 12.5",Loss,Red,"Gen.G, Gen.Glogo std.png","Zeri, Karma, Twisted Fate, Rakan, Renata Glasc","Jayce, Caitlyn, Hecarim, Renekton, Kennen","Lucian, Diana, Ryze, Jinx, Nautilus","Akali, Lee Sin, Ahri, Xayah, Alistar","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Playoffs/Scoreboards",VOD
2022-04-02,"KRLCK 2022 Spring Playoffs, LCK 2022 Spring Playoffs","12.5, Patch 12.5",Win,Red,"Gen.G, Gen.Glogo std.png","Zeri, Twisted Fate, Hecarim, Corki, Galio","Lee Sin, Jayce, Ahri, Viego, Tryndamere","Camille, Nocturne, Ryze, Caitlyn, Lux","Ornn, Volibear, Viktor, Ezreal, Karma","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Playoffs/Scoreboards",VOD
2022-03-26,"KRLCK 2022 Spring Playoffs, LCK 2022 Spring Playoffs","12.5, Patch 12.5",Win,Red,"Kwangdong Freecs, Kwangdong Freecslogo std.png","Zeri, Twisted Fate, Ryze, Xin Zhao, Nocturne","Caitlyn, Jayce, Tryndamere, Miss Fortune, Renekton","Kennen, Lee Sin, Vex, Jinx, Nautilus","Akali, Volibear, LeBlanc, Xayah, Rakan","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Playoffs/Scoreboards",VOD
2022-03-26,"KRLCK 2022 Spring Playoffs, LCK 2022 Spring Playoffs","12.5, Patch 12.5",Win,Red,"Kwangdong Freecs, Kwangdong Freecslogo std.png","Zeri, Twisted Fate, Ryze, Malphite, Gragas","Caitlyn, Ahri, Corki, Xayah, Viego","Jayce, Nocturne, Vex, Jinx, Nautilus","Ornn, Lee Sin, LeBlanc, Miss Fortune, Leona","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Playoffs/Scoreboards",VOD
2022-03-26,"KRLCK 2022 Spring Playoffs, LCK 2022 Spring Playoffs","12.5, Patch 12.5",Win,Blue,"Kwangdong Freecs, Kwangdong Freecslogo std.png","Nautilus, Ryze, LeBlanc, Vex, Aphelios","Zeri, Caitlyn, Twisted Fate, Varus, Miss Fortune","Jayce, Lee Sin, Ahri, Xayah, Tahm Kench","Gragas, Xin Zhao, Viktor, Jinx, Leona","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Playoffs/Scoreboards",VOD
2022-03-20,"KRLCK 2022 Spring, LCK 2022 Spring","12.5, Patch 12.5",Win,Red,"DRX, DRXlogo std.png","Zeri, Hecarim, Jinx, Akali, Volibear","Twisted Fate, Lee Sin, Jayce, Jhin, Tryndamere","Irelia, Viego, Veigar, Varus, Nautilus","Gnar, Xin Zhao, Ryze, Caitlyn, Lux","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 9 (2)",VOD
