Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
9/08/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.15, Patch 25.15",Win,Red,Nongshim RedForce,"Pantheon, Azir, Yunara, Shen, Nautilus","Taliyah, Vi, Varus, Bard, Neeko","Ambessa, Xin Zhao, Galio, Sivir, Poppy","Gwen, Wukong, Corki, Kalista, Renata Glasc","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards/Week 12 (2)",VOD
9/08/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.15, Patch 25.15",Win,Red,Nongshim RedForce,"Pantheon, Azir, Yunara, Rakan, Nautilus","Vi, Wukong, Varus, Neeko, Bard","Aurora, Nocturne, Orianna, Jhin, Alistar","Rumble, Trundle, Ryze, Xayah, Lulu","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards/Week 12 (2)",VOD
7/08/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.15, Patch 25.15",Loss,Blue,Gen.G,"Taliyah, Yone, Alistar, Twisted Fate, Renekton","Azir, Varus, Pantheon, Caitlyn, Miss Fortune","Jax, Nocturne, Sylas, Xayah, Neeko","Yorick, Vi, Corki, Ziggs, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards/Week 12",VOD
7/08/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.15, Patch 25.15",Loss,Red,Gen.G,"Pantheon, Varus, Azir, Ornn, Alistar","Neeko, Xayah, Vi, Corki, Poppy","Rumble, Jarvan IV, Orianna, Lucian, Nami","Ambessa, Xin Zhao, Galio, Yunara, Rakan","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards/Week 12",VOD
7/08/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.15, Patch 25.15",Win,Red,Gen.G,"Pantheon, Azir, Varus, Rakan, Alistar","Neeko, Taliyah, Xin Zhao, Poppy, Yunara","Aurora, Trundle, Ryze, Jhin, Bard","Gwen, Wukong, Annie, Sivir, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards/Week 12",VOD
2/08/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.14, Patch 25.14",Win,Red,Hanwha Life Esports,"Pantheon, Varus, Aurora, Jayce, Xin Zhao","Rumble, Ryze, Nocturne, Aphelios, Corki","K'Sante, Trundle, Taliyah, Sivir, Neeko","Aatrox, Maokai, Azir, Senna, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards/Week 11 (2)",VOD
2/08/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.14, Patch 25.14",Win,Blue,Hanwha Life Esports,"Yone, Taliyah, Aurora, Alistar, Sivir","Pantheon, Varus, Azir, Neeko, Poppy","Gwen, Jarvan IV, Galio, Jhin, Bard","Ambessa, Wukong, Orianna, Lucian, Rakan","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards/Week 11 (2)",VOD
30/07/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.14, Patch 25.14",Win,Red,KT Rolster,"Pantheon, Azir, Trundle, Alistar, Jarvan IV","Annie, Taliyah, Aurora, Bard, Jhin","Gwen, Nocturne, Galio, Xayah, Rakan","Jax, Skarner, Viktor, Varus, Poppy","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards/Week 11",VOD
30/07/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.14, Patch 25.14",Win,Red,KT Rolster,"Pantheon, Gwen, Azir, Rakan, Alistar","Varus, Annie, Taliyah, Poppy, Bard","Ornn, Xin Zhao, Ryze, Sivir, Neeko","Rumble, Wukong, Cassiopeia, Corki, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards/Week 11",VOD
27/07/2025,"KRLCK 2025 Rounds 3-5, LCK 2025 Rounds 3-5","25.14, Patch 25.14",Win,Red,Nongshim RedForce,"Pantheon, Sejuani, Azir, Camille, Alistar","Xin Zhao, Vi, Trundle, Caitlyn, Thresh","Ambessa, Nocturne, Orianna, Jhin, Bard","K'Sante, Viego, Galio, Senna, Tahm Kench","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 3-5/Scoreboards/Week 10 (2)",VOD
