Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
14/01/2022,"KRLCK 2022 Spring, LCK 2022 Spring","12.1, Patch 12.1",Win,Red,"Fredit BRION, Fredit BRIONlogo std.png","Lee Sin, Renekton, Camille, LeBlanc, None","Yuumi, Caitlyn, Twisted Fate, Viktor, Ryze","Gwen, Jarvan IV, Vex, Aphelios, Lulu","Gragas, Xin Zhao, Corki, Varus, Karma","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 1 (2)",VOD
14/01/2022,"KRLCK 2022 Spring, LCK 2022 Spring","12.1, Patch 12.1",Win,Blue,"Fredit BRION, Fredit BRIONlogo std.png","Lee Sin, LeBlanc, Twisted Fate, Leona, Yuumi","Karma, Caitlyn, Renekton, Graves, Lulu","Gnar, Xin Zhao, Viktor, Aphelios, Nautilus","Gragas, Viego, Ryze, Jhin, Sett","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 1 (2)",VOD
14/01/2022,"KRLCK 2022 Spring, LCK 2022 Spring","12.1, Patch 12.1",Loss,Red,"Fredit BRION, Fredit BRIONlogo std.png","Renekton, Lee Sin, Karma, Gragas, LeBlanc","Yuumi, Caitlyn, Twisted Fate, Viego, Jarvan IV","Jayce, Nidalee, Ryze, Jhin, Rakan","Camille, Xin Zhao, Galio, Varus, Leona","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 1 (2)",VOD
20/01/2022,"KRLCK 2022 Spring, LCK 2022 Spring","12.1, Patch 12.1",Win,Blue,"DRX, DRXlogo std.png","Graves, Caitlyn, Renekton, Rakan, Leona","Karma, Yuumi, Twisted Fate, Thresh, Jhin","Fiora, Viego, Corki, Aphelios, Gragas","Camille, Jarvan IV, Vex, Ziggs, Rell","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 2",VOD
20/01/2022,"KRLCK 2022 Spring, LCK 2022 Spring","12.1, Patch 12.1",Win,Red,"DRX, DRXlogo std.png","Renekton, Twisted Fate, Caitlyn, Gragas, Thresh","Yuumi, Karma, Jarvan IV, Ziggs, Leona","Camille, Diana, Tryndamere, Samira, Rakan","Gwen, Xin Zhao, Corki, Aphelios, Rell","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 2",VOD
23/01/2022,"KRLCK 2022 Spring, LCK 2022 Spring","12.1, Patch 12.1",Win,Red,"Liiv SANDBOX, Liiv SANDBOXlogo std.png","Renekton, Xin Zhao, Akali, Lee Sin, Graves","Karma, Twisted Fate, Caitlyn, Jarvan IV, Poppy","Gragas, Viego, Corki, Jinx, Thresh","Gwen, Trundle, Sylas, Aphelios, Nautilus","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 2 (2)",VOD
23/01/2022,"KRLCK 2022 Spring, LCK 2022 Spring","12.1, Patch 12.1",Win,Red,"Liiv SANDBOX, Liiv SANDBOXlogo std.png","Renekton, Xin Zhao, Akali, Viego, Poppy","Karma, Twisted Fate, Aphelios, Jarvan IV, Jayce","Gnar, Lee Sin, Corki, Caitlyn, Lux","Gragas, Hecarim, Viktor, Jhin, Yuumi","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 2 (2)",VOD
27/01/2022,"KRLCK 2022 Spring, LCK 2022 Spring","12.2, Patch 12.2",Win,Blue,"Nongshim RedForce, Nongshim RedForcelogo std.png","Yuumi, Renekton, Twisted Fate, Zoe, Viktor","Karma, Caitlyn, Corki, Tryndamere, Jax","Jayce, Xin Zhao, Azir, Jinx, Thresh","Graves, Poppy, Syndra, Aphelios, Blitzcrank","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 3",VOD
27/01/2022,"KRLCK 2022 Spring, LCK 2022 Spring","12.2, Patch 12.2",Loss,Red,"Nongshim RedForce, Nongshim RedForcelogo std.png","Corki, Renekton, Karma, Jayce, Xin Zhao","Tryndamere, Aphelios, Caitlyn, Graves, Thresh","Gwen, Jarvan IV, Viktor, Jinx, Lulu","Akali, Lee Sin, Twisted Fate, Jhin, Yuumi","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 3",VOD
27/01/2022,"KRLCK 2022 Spring, LCK 2022 Spring","12.2, Patch 12.2",Win,Blue,"Nongshim RedForce, Nongshim RedForcelogo std.png","Graves, Yuumi, Renekton, Gwen, Gnar","Twisted Fate, Karma, Caitlyn, Poppy, Xin Zhao","Gragas, Viego, Corki, Aphelios, Tahm Kench","Jayce, Diana, Viktor, Jinx, Thresh","Zeus,Oner,Faker,Gumayusi,Keria","SB, LCK/2022 Season/Spring Season/Scoreboards/Week 3",VOD
